Cell Names,Roles,Status,CG - Zone,Zones,Status Definition,Ministry: Department Name,NWST Dates,Cell Names,Cell Tabs,Ministry Role,Ministry Department
Anchor Street,1. CG Leader,Regular: Comes 3 or more times a month,Anchor Street - Syd,Syd,Regular: Comes 3 or more times a month,Worship: Band,Jan 2026,Anchor Street,Anchor,1. Ministry Leader,Band
Aster Street,2. Assistant CG Leader,Irregular: Comes 2 or less times a month,Aster Street - Sara,Sara,Irregular: Comes 2 or less times a month,Worship: Vocals,Feb 2026,Aster Street,Aster,2. Assistant Ministry Leader,Dance
Crown Street,3. CG Core,New,Crown Street - Fabian,Fabian,New,Worship: Lights,Mar 2026,Narrowstreet Core Team,Core Team,3. Ministry Core,LCD
Fishers Street,4. Potential CG Core,Follow Up: Haven't seen in them in 2 months,Fishers Street - Ethanael,Ethanael,Follow Up: Haven't seen in them in 2 months,Worship: LCD,Apr 2026,Crown Street,Crown,4. Potential Ministry Core,Lights
HIS Street,5. Ministry Leader,Red: Will no longer follow up. Don't wanna come church anymore,HIS Street - Sara,PSQ,Red: Will no longer follow up. Don't wanna come church anymore,Worship: Sound,May 2026,Street Fire,Fire,5. Member,Sound
Home Street,6. Assistant Ministry Leader,Graduated: Will no longer follow up. Moved to different ministry,Home Street - Sara,,Graduated: Will no longer follow up. Moved to different ministry,Worship: Dance,,Fishers Street,Fishers,6. Advisor,Vocals
King Street,7. Ministry Core,Duplicate (to delete),King Street - Fabian,,Duplicate (to delete),Frontlines,,Street Forth,Forth,,
Life Street,8. Potential Ministry Core,,Life Street - Syd,,,Hype,,HIS Street,HIS,,
Meta Street,9. Zone Leader,,Meta Street - Ethanael,,,VS,,Home Street,Home,,
Narrowstreet Core Team,,,Narrowstreet Core Team - PSQ,,,,,King Street,King,,
Royal Street,,,Royal Street - Fabian,,,,,Life Street,Life,,
Shepherds Street,,,Shepherds Street - Ethanael,,,,,Street Lights,Lights,,
Street Fire,,,Street Fire - Fabian,,,,,Meta Street,Meta,,
Street Forth,,,Street Forth - Sara,,,,,Royal Street,Royal,,
Street Lights,,,Street Lights - Syd,,,,,Street Runners,Runners,,
Street Runners,,,Street Runners - Ethanael,,,,,Shepherds Street,Shepherds,,
Via Dolorosa Street,,,Via Dolorosa Street - Syd,,,,,Via Dolorosa Street,Via Dolorosa,,
*Not sure yet,,,*Not sure yet - PSQ,,,,,Archive,Archive,,
Archive,,,,,,,,,,,
